Issue_ID,Application_Name,Issue_Type,Priority,Status,Assignee,Created_Date,Due_Date,Resolved_Date,Days_Open
KD-100,Anaplan Planning,Compliance Gap,Low,Closed,Julia Becker,2024-02-05,2024-04-16,2024-04-06,
KD-101,Qualys VM,Security Audit,Low,Closed,Laura Zimmermann,2024-12-28,2025-01-23,2025-02-15,
KD-102,MuleSoft Anypoint,Owner Alignment,Low,Closed,Laura Zimmermann,2024-06-14,2024-07-22,2024-07-17,
KD-103,Snowflake Data Cloud,Owner Alignment,Medium,Closed,Stefan Hoffmann,2024-06-21,2024-07-01,2024-07-11,
KD-104,DocuSign,Data Governance,High,Resolved,Anna Schmidt,2024-05-23,2024-08-14,2024-08-21,
KD-105,Adobe Experience Manager,Security Audit,Critical,Closed,Anna Schmidt,2025-01-03,2025-03-03,2025-03-08,
KD-106,Celonis Process Mining,Security Audit,Medium,Closed,Michael Wagner,2024-04-23,2024-06-20,2024-06-29,
KD-107,Knauf Dealer App,Owner Alignment,Critical,Closed,Maria Fischer,2024-06-18,2024-08-09,2024-08-16,
KD-108,Teams Voice,Architecture Review,Low,Resolved,Stefan Hoffmann,2024-03-02,2024-05-16,2024-05-17,
KD-109,Knauf Order Management,Owner Alignment,Medium,Closed,Klaus Weber,2025-01-24,2025-04-08,2025-04-04,
KD-110,SharePoint Online,Compliance Gap,Medium,Open,Klaus Weber,2024-01-08,2024-03-23,,863.0
KD-111,RSA Archer,License Review,High,Closed,Thomas Müller,2024-02-22,2024-03-01,2024-03-21,
KD-112,Pega Platform,Data Governance,Critical,Resolved,Klaus Weber,2024-09-01,2024-09-22,2024-10-07,
KD-113,Confluence,Compliance Gap,Low,In Progress,Laura Zimmermann,2024-10-15,2024-11-29,,582.0
KD-114,Knauf Field Service,License Review,Low,Closed,Stefan Hoffmann,2024-11-12,2024-12-17,2024-12-31,
KD-115,Knauf Analytics Hub,License Review,Critical,Resolved,Klaus Weber,2024-11-13,2024-11-27,2024-11-23,
KD-116,Adobe Experience Manager,Security Audit,Low,Open,Laura Zimmermann,2024-03-29,2024-06-14,,782.0
KD-117,SAP GRC,Architecture Review,Low,Under Review,Anna Schmidt,2024-05-29,2024-06-09,,721.0
KD-118,SAP SuccessFactors,Data Governance,High,Resolved,Klaus Weber,2024-05-15,2024-08-10,2024-08-12,
KD-119,MuleSoft Anypoint,Data Governance,Medium,Under Review,Sarah Neumann,2024-03-13,2024-03-29,,798.0
KD-120,Azure DevOps,Security Audit,Critical,Closed,Laura Zimmermann,2024-08-27,2024-10-11,2024-10-18,
KD-121,LeanIX EA Suite,Architecture Review,Critical,Resolved,Stefan Hoffmann,2024-08-09,2024-09-26,2024-09-17,
KD-122,Knauf Analytics Hub,Data Governance,Low,Resolved,Sarah Neumann,2024-01-21,2024-02-19,2024-03-08,
KD-123,Microsoft 365,License Review,Low,Resolved,Sarah Neumann,2024-08-28,2024-10-18,2024-10-28,
KD-124,Celonis Process Mining,Compliance Gap,Medium,Closed,Stefan Hoffmann,2024-12-05,2025-02-01,2025-02-26,
KD-125,Teams Voice,Security Audit,Critical,Closed,Maria Fischer,2024-02-29,2024-04-27,2024-04-17,
KD-126,Knauf Customer Portal,Owner Alignment,Medium,Resolved,Peter Braun,2024-07-04,2024-09-28,2024-10-28,
KD-127,Jira Software,Architecture Review,High,Resolved,Klaus Weber,2024-05-27,2024-07-29,2024-08-19,
KD-128,SharePoint Online,Security Audit,Critical,Resolved,Klaus Weber,2024-10-09,2024-10-17,2024-10-12,
KD-129,RSA Archer,Security Audit,High,Closed,Sarah Neumann,2025-01-01,2025-02-14,2025-02-21,
KD-130,Knauf Dealer App,Data Governance,High,Closed,Anna Schmidt,2024-03-15,2024-05-10,,
KD-131,MuleSoft Anypoint,License Review,Critical,Closed,Stefan Hoffmann,2025-01-30,2025-03-31,,
KD-132,SharePoint Online,Data Governance,Low,Closed,Julia Becker,2024-10-27,2025-01-16,2025-02-06,
KD-133,DocuSign,Cost Optimisation,High,Under Review,Maria Fischer,2024-10-09,2024-12-24,,588.0
KD-134,Knauf Analytics Hub,Architecture Review,Low,Closed,Michael Wagner,2024-07-15,2024-08-20,2024-09-05,
KD-135,Snowflake Data Cloud,Data Governance,Medium,Resolved,Anna Schmidt,2024-12-05,2025-03-05,2025-03-26,
KD-136,CyberArk PAM,Cost Optimisation,High,Closed,Anna Schmidt,2024-02-21,2024-05-05,2024-04-25,
KD-137,SAP GRC,Architecture Review,Critical,Resolved,Julia Becker,2025-02-04,2025-03-16,,
KD-138,Knauf Product Configurator,Data Governance,Critical,Resolved,Maria Fischer,2024-07-13,2024-08-29,2024-09-19,
KD-139,Celonis Process Mining,Owner Alignment,Medium,Closed,Thomas Müller,2024-04-26,2024-05-14,2024-05-10,
KD-140,LeanIX EA Suite,Security Audit,High,Under Review,Maria Fischer,2024-06-15,2024-06-29,,704.0
KD-141,Knauf Customer Portal,Compliance Gap,Low,Resolved,Laura Zimmermann,2024-07-29,2024-10-16,2024-10-17,
KD-142,Adobe Experience Manager,Architecture Review,Medium,Resolved,Sarah Neumann,2024-09-11,2024-12-01,,
KD-143,Pega Platform,Compliance Gap,Low,Resolved,Julia Becker,2024-12-07,2024-12-15,2025-01-03,
KD-144,Knauf Order Management,Owner Alignment,Low,Closed,Sarah Neumann,2024-06-02,2024-08-29,2024-09-04,
KD-145,Power BI Premium,Compliance Gap,Low,Closed,Stefan Hoffmann,2024-05-01,2024-06-25,2024-07-21,
KD-146,SAP S/4HANA,Data Governance,Medium,Resolved,Maria Fischer,2024-10-16,2024-10-29,2024-11-19,
KD-147,Veeva Vault,License Review,Low,Resolved,Thomas Müller,2024-11-13,2024-12-22,2024-12-20,
KD-148,Knauf Order Management,License Review,Low,Under Review,Klaus Weber,2024-07-05,2024-07-28,,684.0
KD-149,Veeva Vault,Cost Optimisation,High,Closed,Stefan Hoffmann,2024-03-08,2024-05-23,2024-06-05,
KD-150,SAP GRC,Cost Optimisation,High,Resolved,Michael Wagner,2024-05-31,2024-07-20,2024-08-08,
KD-151,Knauf Dealer App,Security Audit,Medium,Resolved,Stefan Hoffmann,2024-07-06,2024-07-24,2024-07-14,
KD-152,Knauf Order Management,Compliance Gap,Medium,Closed,Laura Zimmermann,2024-07-14,2024-10-10,2024-10-06,
KD-153,SAP SuccessFactors,Compliance Gap,High,Closed,Thomas Müller,2024-11-27,2024-12-12,2024-12-31,
KD-154,LeanIX EA Suite,Data Governance,High,In Progress,Michael Wagner,2024-06-04,2024-08-13,,715.0
KD-155,Qualys VM,Cost Optimisation,Low,Resolved,Laura Zimmermann,2024-07-08,2024-09-22,2024-09-21,
KD-156,SolarWinds ITSM,Owner Alignment,Medium,Closed,Anna Schmidt,2024-05-23,2024-06-03,2024-06-06,
KD-157,Anaplan Planning,License Review,High,Resolved,Anna Schmidt,2024-10-05,2025-01-02,,
