Application_ID,Application_Name,Business_Unit,Region,Application_Owner,Lifecycle_Stage,Application_Type,Technical_Fit,Business_Fit,Annual_Cost_EUR,Active_Users,Last_Review_Date,Next_Review_Date,Audit_Status,GDPR_Compliance,IT_Audit_Status,Data_Sensitivity,Open_Issues
APP-1000,SAP S/4HANA,Customer Solutions,DACH,Anna Schmidt,Planned,SaaS,Excellent,Low Value,119373.26,849,2024-05-20,2024-12-21,Compliant,Compliant,Passed,High,6
APP-1001,Salesforce CRM,Customer Solutions,Eastern Europe,Stefan Hoffmann,Phase-Out,Custom Built,Excellent,Important,230112.43,2288,2024-08-02,2025-02-20,Pending Review,Compliant,In Progress,High,3
APP-1002,LeanIX EA Suite,Sales & Marketing,Western Europe,Peter Braun,Active,Custom Built,Poor,Mission Critical,305825.76,365,2025-03-09,2025-11-30,Compliant,Pending,Passed,Medium,2
APP-1003,ServiceNow ITSM,Sales & Marketing,Eastern Europe,Klaus Weber,Pilot,Custom Built,Poor,Useful,429105.68,837,2024-05-28,2024-10-05,Pending Review,Pending,Passed,Medium,8
APP-1004,Workday HCM,Customer Solutions,North America,Peter Braun,Planned,Custom Built,Good,Low Value,271728.54,2015,2024-02-06,2024-08-01,Pending Review,Pending,Passed,High,7
APP-1005,Microsoft 365,Operations,DACH,Sarah Neumann,Active,Custom Built,Adequate,Important,42432.42,4656,2024-07-24,2025-03-08,Non-Compliant,Pending,Passed,High,7
APP-1006,Power BI Premium,Customer Solutions,Western Europe,Sarah Neumann,Active,On-Premise,Adequate,Important,449933.21,3281,2025-01-17,2025-11-22,In Progress,Compliant,Passed,High,4
APP-1007,Azure DevOps,Customer Solutions,DACH,Peter Braun,Planned,SaaS,Poor,Useful,198535.98,4891,2024-08-04,2024-12-04,Compliant,Pending,Passed,Medium,9
APP-1008,Jira Software,HR & People,DACH,Julia Becker,Active,On-Premise,Excellent,Useful,486225.17,1473,2025-05-03,2025-12-13,Compliant,Compliant,In Progress,High,15
APP-1009,Confluence,Sales & Marketing,DACH,Peter Braun,Active,Custom Built,Excellent,Mission Critical,127331.63,1983,2025-03-25,2025-11-27,Compliant,Compliant,Failed,High,5
